index,title,certificate,runtime,genre,desc,rating,votes
1,Freddy,UA 16+,124 min,"Drama, Mystery, Thriller            ",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,7.9,"16,441"
2,An Action Hero,U,130 min,Action            ,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",8.1,"15,690"
3,Kantara,UA,148 min,"Action, Adventure, Drama            ",It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?,8.7,"78,358"
4,Khakee: The Bihar Chapter,UA 13+,45 min,"Action, Crime, Drama            ","As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption.",8.3,"4,464"
5,Drishyam 2,UA,140 min,"Crime, Drama, Mystery            ",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,8.6,"18,743"
6,Qala,UA 16+,119 min,"Drama, History, Music            ","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",7.2,"1,903"
7,Bhediya,UA,156 min,"Comedy, Horror, Thriller            ","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",7.7,"12,771"
8,Goodbye,U,130 min,"Comedy, Drama, Family            ",A heartwarming story of the Bhalla family that depicts their journey of grief and self-discovery after they suffer the loss of their loved one.,7.3,"6,977"
9,RRR (Rise Roar Revolt),UA,187 min,"Action, Drama            ",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,8,"1,17,876"
10,India Lockdown,UA,117 min,Drama            ,"Inspired by true events, 'India Lockdown' depicts four parallel stories and the repercussions of the Covid-19 pandemic on the people of India.",8.7,"5,859"
11,Cat,18,null,"Crime, Drama, Thriller            ","A former police informant is forced to become an informant again to save the life of his brother, which forces him to come to terms with his dark past.",9.3,"3,464"
12,Office Christmas Party,R,105 min,Comedy            ,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",5.9,"81,245"
13,Chup,A,135 min,"Drama, Romance, Thriller            ","A psychopath killer, targeting film critics. The film is a fast-paced thriller that raises many questions of the ethics of criticism.",7.9,"18,122"
14,Dharavi Bank,UA 16+,null,"Crime, Drama, Thriller            ","A 30,000 Crore crime nexus is being ruled by the unattainable Thalaivan right in the heart of Mumbai, in Dharavi. JCP Jayant Gavaskar is on a mission to bring down Thalaivan and his adversaries, at any cost.",8.8,"3,969"
15,Vadhandhi: The Fable of Velonie,A,null,"Crime, Drama, Mystery            ","The murder of a beautiful young girl, seen from the Rashomon-esque perspectives of an unrelenting obsessed cop, a novelist captivated by her grace and an opportunistic news editor.",8.5,"2,157"
16,Sita Ramam,U,163 min,"Action, Drama, Mystery            ","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",8.6,"48,954"
17,Brahmastra Part One: Shiva,UA,167 min,"Action, Adventure, Fantasy            ","This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",5.6,"1,04,827"
18,1917,R,119 min,"Action, Drama, War            ","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.2,"5,86,820"
19,Nazar Andaaz,U,103 min,Comedy            ,"Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three.",7.4,569
20,Love Today,UA,154 min,"Comedy, Drama, Romance            ","Two young lovers, who are made to exchange their phones for a day and what happens due to that.",8.3,"8,049"
21,College Romance,16+,30 min,"Comedy, Drama, Romance            ","Three best friends look for love, laughs and some lifelong memories while attending college together.",8.4,"27,235"
22,Monica O My Darling,UA 16+,129 min,"Comedy, Crime, Drama            ","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",7.5,"11,758"
23,Ready Player One,UA,140 min,"Action, Adventure, Sci-Fi            ","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",7.4,"4,37,034"
24,Mirzapur,18,60 min,"Action, Crime, Drama            ",A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.,8.5,"72,696"
25,Salaam Venky,U,137 min,Drama            ,"Sujata, an ideal mother, who battled the most challenging situations one can ever face with a smile.",8,291
26,Blurr,A,127 min,"Drama, Thriller            ",The story of a woman who's slowly losing her sight whilst trying to investigate the death of her twin sister.,4.8,636
